Series, Page, NO., ID, Title 
25, 12, 280, 26639447, 罗芒狂欢节 
25, 12, 281, 1116365, 法国文明史（第三卷） 
25, 12, 282, 24541889, 多桑蒙古史（上下册） 
25, 12, 283, 25761765, 东南亚的贸易时代 1450-1680年 （第二卷） 
25, 12, 284, 26677118, 世界历史与救赎历史 
25, 12, 285, 2137827, 理论地理学 
25, 13, 301, 24671180, 治国策 
25, 13, 302, 4887605, 地理学与地理学家 
25, 13, 303, 26355380, 十九世纪欧洲史 
25, 13, 304, 1723713, 法国文明史（第四卷） 
25, 13, 305, 20234305, 中世纪史学史 
25, 13, 306, 5501398, 区位和土地利用 
25, 13, 307, 26772507, 罗马共和国政制 
25, 13, 308, 26772503, 沙乡年鉴 
25, 13, 309, 26754368, 论德国宗教和哲学的历史 
25, 13, 310, 10571630, 俄国史教程（第2卷） 
25, 14, 326, 24863505, 俄国史教程（第4卷） 
25, 14, 327, 26677119, 中世纪与文艺复兴 
25, 14, 328, 24863506, 俄国史教程（第5卷） 
25, 14, 329, 24863501, 俄国史教程（第3卷） 
24, 20, 476, 26663535, 善恶的彼岸 
24, 20, 477, 5355428, 内时间意识现象学 
24, 20, 478, 21318648, 德国的科学 
24, 20, 479, 6070347, 耶稣传（全两卷） 
24, 20, 480, 11443185, 真理、意义与方法 
24, 20, 481, 4922500, 逻辑大全 
24, 20, 482, 6861489, 护教篇 
24, 20, 483, 20469982, 道德形上学探本 
24, 20, 484, 1066494, 欧洲科学的危机与超越论的现象学 
24, 20, 485, 6004606, 近代心理学历史导引（全两册） 
24, 21, 501, 4202354, 动物四篇 
24, 21, 502, 2129429, 躯体的智慧 
24, 21, 503, 21318650, 过程与实在 
24, 21, 504, 21318649, 论宇宙的体系 
24, 21, 505, 20271282, 伦理学 
24, 21, 506, 26755734, 琉善哲学文选 
24, 21, 507, 11445639, 意义与真理的探究 
24, 21, 508, 5380392, 第一哲学（全两卷） 
24, 21, 509, 6038168, 对莱布尼茨哲学的批评性解释 
24, 21, 510, 11541273, 科学的规范 
24, 22, 526, 5384620, 给塞伦娜的信 
24, 22, 527, 5254830, 普通认识论 
24, 22, 528, 20266298, 论一元论历史观的发展问题 
24, 22, 529, 10344536, 思想录 
24, 22, 530, 20473984, 认识的途径 
24, 22, 531, 24698724, 新实在论 
24, 22, 532, 20514311, 自然哲学概论 
24, 22, 533, 26754368, 论德国宗教和哲学的历史 
24, 22, 534, 21321833, 宇宙体系论 
24, 22, 535, 26836377, 亚当·斯密哲学文集 
24, 23, 551, 26724623, 物理科学的哲学 
24, 23, 552, 25934183, 经验与自然 
24, 23, 553, 26830768, 拉奥孔 
24, 23, 554, 26800341, 黑格尔早期神学著作 
24, 23, 555, 26870290, 天球运行论 
24, 23, 556, 26940411, 论科学与艺术的复兴是否有助于使风俗日趋纯朴 
18073, 1, 1, 6799998, 纯粹理性批判 
18073, 1, 2, 22273149, 道德形而上学的奠基 
18073, 1, 3, 23060145, 未来形而上学导论 
18073, 1, 4, 4320838, 判断力批判 
18073, 1, 5, 4320841, 实践理性批判 
18073, 1, 6, 22273147, 道德形而上学 
18073, 1, 7, 10517476, 纯然理性界限内的宗教 
18073, 1, 8, 23060144, 实用人类学 
18073, 1, 9, 26825939, 康德认识论文集（注释版） 
18073, 1, 10, 26892927, 康德教育哲学文集 
18073, 2, 26, 26883123, 康德三大批判合集（注释版） 
18073, 2, 27, 26883121, 康德美学文集（注释版） 
18073, 2, 28, 26892924, 康德历史哲学文集/康德文集注释版 
18073, 2, 29, 26892929, 康德政治哲学文集/康德文集注释版 
18073, 2, 30, 26892921, 康德自然哲学文集（注释版）（上下） 
18073, 2, 31, 26892928, 康德道德哲学文集（注释版）（上下） 
18073, 2, 32, 26892930, 康德宗教哲学文集（注释版） 
18073, 2, 33, 26892919, 康德人类学文集 
4634, 5, 101, 1073187, 政治经济学概论 
4634, 5, 102, 1255371, 小逻辑 
4634, 5, 103, 1116346, 英吉利教会史 
4634, 5, 104, 1254279, 纯粹现象学通论（第一卷） 
4634, 5, 105, 1026322, 纯粹理性批判 
4634, 5, 106, 1254281, 货币论（上卷） 
4634, 5, 107, 1255369, 哲学史讲演录（第一卷） 
4634, 5, 108, 1160322, 货币论（下卷） 
4634, 5, 109, 1075075, 新科学（全两册） 
4634, 5, 110, 1255374, 哲学史讲演录（第四卷） 
4634, 6, 126, 1171877, 货币、信用与商业 
4634, 6, 127, 1255370, 拿破仑法典 
4634, 6, 128, 1267795, 哲学史讲演录（第二卷） 
4634, 6, 129, 1255373, 哲学史讲演录 第三卷 
4634, 6, 130, 1047126, 政治正义论（全二册） 
4634, 6, 131, 2021255, 物种起源 
4634, 6, 132, 1002174, 制度经济学（下册） 
4634, 6, 133, 1072114, 制度经济学（上册） 
4634, 6, 134, 1116347, 古代社会（全两册） 
4634, 6, 135, 1657454, 社会契约论 
4634, 7, 151, 1610117, 论法的精神(下册) 
4634, 7, 152, 1657453, 论法的精神（上册） 
4634, 7, 153, 26548059, 罗马帝国衰亡史（上册） 
4634, 7, 154, 26547896, 经济学原理（上卷） 
4634, 7, 155, 26547923, 经济学原理（下卷） 
27, 12, 276, 2375032, 论法的精神(下册) 
27, 12, 277, 1060044, 拿破仑文选 下卷 
27, 12, 278, 26598286, 论人与人之间不平等的起因和基础 
27, 12, 279, 1723687, 为英国人民声辩 
27, 12, 280, 20386784, 美洲三书 
27, 12, 281, 19997978, 缅甸高地诸政治体系 
27, 12, 282, 24741837, 建设自由共和国的简易办法 
27, 12, 283, 21348953, 兵法 
27, 12, 284, 1135050, 俄国社会思想史（第三卷） 
27, 12, 285, 1661288, 现实的人类和理想的人类 一个贫苦罪人的福音 
27, 13, 301, 1274021, 伊加利亚旅行记(第一卷) 
27, 13, 302, 1264972, 自然政治论 
27, 13, 303, 1274393, 布朗基文选 
27, 13, 304, 1255396, 傅立叶选集 第一卷 
27, 13, 305, 5372804, 普通法的诉讼形式 
27, 13, 306, 5959980, 贫困的哲学（上下） 
27, 13, 307, 1513124, 祖国在危急中 
27, 13, 308, 1254162, 塞瓦兰人的历史 
27, 13, 309, 1251841, 俄国社会思想史（第二卷） 
27, 13, 310, 1941839, 奥本海国际法 
27, 14, 326, 26665639, 职业伦理与公民道德 
27, 14, 327, 1245504, 为平等而密谋（下卷） 
27, 14, 328, 1245513, 公有法典 
27, 14, 329, 21348955, 华盛顿选集 
27, 14, 330, 24701861, 公法的变迁 
27, 14, 331, 24719982, 巴黎公社公报集（第一集） 
27, 14, 332, 1010228, 道德与立法原理导论 
27, 14, 333, 5959985, 人和公民的自然法义务 
27, 14, 334, 25972579, 意识形态与乌托邦 
27, 14, 335, 1172093, 傅立叶选集 第三卷 
27, 15, 351, 26647779, 地方知识 
27, 15, 352, 1047949, 欧文选集 第一卷 
27, 15, 353, 1116357, 皮佑选集 
27, 15, 354, 3226824, 论法的精神（上册） 
27, 15, 355, 1659099, 遗书 第一卷 
27, 15, 356, 24697400, 论财产 
27, 15, 357, 1061867, 社会命运（全两卷） 
27, 15, 358, 24719981, 巴黎公社公报集（第二集） 
27, 15, 359, 26747616, 山中来信 
27, 15, 360, 1245526, 劳动组织 
27, 16, 376, 1172092, 傅立叶选集 第二卷 
27, 16, 377, 1559305, 对劳动的迫害及其救治方案 
27, 16, 378, 1545858, 笛福文选 
27, 16, 379, 26836381, 战争论 
27, 16, 380, 26639446, 正义法的理论 
27, 16, 381, 1116358, 马布利选集 
27, 16, 382, 1723722, 格雷文集 
27, 16, 383, 1054510, 欧文选集 第三卷 
27, 16, 384, 1659101, 遗书 第三卷 
27, 16, 385, 1723685, 温斯坦莱文选 
27, 17, 401, 1050165, 欧文选集 第二卷 
27, 17, 402, 3317959, 圣西门学说释义 
27, 17, 403, 1659100, 遗书 第二卷 
27, 17, 404, 21666777, 社会学方法的准则 
27, 17, 405, 26767562, 法律史解释 
27, 17, 406, 3530042, 塞瓦兰人的历史 
3354, 9, 201, 20441751, 有生之年非看不可的101部战争电影 
3354, 9, 202, 25817587, 书店风景（平装本） 
3354, 9, 203, 25933431, 有生之年必须体验的1001场逃离尘嚣的旅行 
3354, 9, 204, 26266107, 501位电影明星 
3354, 9, 205, 26183891, 塑造世界的1001天 
3354, 9, 206, 26264553, 时装原来如此神奇 
3354, 9, 207, 25818112, 书店传奇（平装本） 
3354, 9, 208, 25976175, 女人四书 
3354, 9, 209, 26352579, 红色列车 
3354, 9, 210, 25817570, 书天堂（平装本） 
19745, 13, 301, 1085478, 庭长夫人 
19745, 13, 302, 1105256, 巨人 
19745, 13, 303, 1797639, 邦斯舅舅 
19745, 13, 304, 1326844, 悬崖 
19745, 13, 305, 2682049, 双雄记 
19745, 13, 306, 1529735, 卢梭自选书信集 
19745, 13, 307, 1780011, 吉姆老爷 
19745, 13, 308, 1659192, 前夜 
19745, 13, 309, 1215219, 欧也妮・葛朗台 
19745, 13, 310, 1986447, 包法利夫人 
19745, 14, 326, 2101453, 上尉的女儿 
19745, 14, 327, 1058625, 卢梭自选书信集 
19745, 14, 328, 1642119, 贝比塔·希梅纳斯 
19745, 14, 329, 2037335, 罗亭（典藏本） 
19745, 14, 330, 1044837, 前夜 
19745, 14, 331, 1703218, 乡村的罗密欧与朱丽叶 
19745, 14, 332, 3465843, 约婚夫妇 
3747, 4, 76, 21372126, 菊与刀 
3747, 4, 77, 26614228, 论幸福生活 
3747, 4, 78, 24736419, 人生的意义与价值 
3747, 4, 79, 25762630, 社会契约论 
3747, 4, 80, 19974670, 悲剧的诞生 
3747, 4, 81, 26384535, 西方的没落 
3747, 4, 82, 25886160, 哲学的慰藉 
3747, 4, 83, 26345471, 论义务 
3747, 4, 84, 26658499, 相对论ABC 
3747, 4, 85, 22022911, 论共和国 
3747, 5, 101, 21372127, 沉思录 
3747, 5, 102, 22022715, 论自由 
3747, 5, 103, 20375345, 国富论 
3747, 5, 104, 26291762, 常识 
3747, 5, 105, 20438850, 战争论 
3747, 5, 106, 26707993, 政府论（第二篇） 
3747, 5, 107, 25924024, 道德情操论 
3747, 5, 108, 25748360, 宽容 
3747, 5, 109, 19989251, 译林人文精选 
1700, 8, 176, 10571602, 第一推动丛书（精选本） 
1700, 8, 177, 26679852, 完美理论 
1700, 8, 178, 5446423, 无中生有 
1700, 8, 179, 4623035, 看不见的世界 
3367, 3, 51, 4731483, 社会契约论 
3367, 3, 52, 4238294, 理想国 
3367, 3, 53, 4292687, 法律社会学基本原理 
3367, 3, 54, 4714946, 哲学研究 
3367, 3, 55, 4714719, 实践理性批判 
3367, 3, 56, 4716596, 就业、利息和货币通论 
3367, 3, 57, 4294414, 政治学 
2093, 1, 1, 1825043, 明史讲义 
