Doulist, Page, Type 
41073897, 153, 1 
41073897, 154, 1 
41073897, 155, 1 
41073897, 156, 1 
41073897, 157, 1 
41073897, 158, 1 
41073897, 159, 1 
41073897, 160, 1 
41073897, 161, 1 
41073897, 162, 1 
41073897, 163, 1 
41073897, 164, 1 
41073897, 165, 1 
41073897, 166, 1 
41073897, 167, 1 
41073897, 168, 1 
41073897, 169, 1 
41073897, 170, 1 
41073897, 171, 1 
41073897, 172, 1 
41073897, 173, 1 
41073897, 174, 1 
41073897, 175, 1 
41073897, 176, 1 
41073897, 177, 1 
41073897, 178, 1 
41073897, 179, 1 
41073897, 180, 1 
41073897, 181, 1 
41073897, 182, 1 
41073897, 183, 1 
41073897, 184, 1 
41073897, 185, 1 
41073897, 186, 1 
41073897, 187, 1 
234733, 2, 2 
40569385, 8, 1 
40569385, 10, 2 
40569385, 15, 2 
40569385, 21, 2 
43474176, 3, 1 
43474176, 4, 1 
43474176, 8, 2 
43474176, 11, 1 
43474176, 15, 1 
232710, 1, 1 
535845, 8, 2 
36502836, 1, 1 
36502836, 2, 1 
36502836, 4, 1 
36502836, 5, 1 
36502836, 6, 1 
36502836, 7, 1 
36502836, 8, 1 
36502836, 9, 1 
36502836, 10, 1 
36502836, 11, 1 
36502836, 12, 1 
36502836, 13, 1 
36502836, 14, 1 
36502836, 15, 1 
36502836, 16, 1 
36502836, 17, 1 
36502836, 18, 1 
161084, 2, 2 
20172127, 3, 2 
20172127, 6, 2 
20172127, 27, 2 
20172127, 29, 2 
20172127, 50, 2 
20172127, 51, 2 
20172127, 52, 2 
20172127, 53, 2 
20172127, 62, 2 
20172127, 67, 2 
20172127, 69, 2 
20172127, 75, 2 
20172127, 76, 2 
20172127, 84, 2 
20172127, 87, 2 
20172127, 89, 2 
20172127, 96, 2 
20172127, 107, 2 
20172127, 115, 2 
20172127, 117, 2 
20172127, 118, 2 
20172127, 129, 2 
20172127, 131, 2 
20172127, 139, 2 
20172127, 140, 2 
20172127, 143, 2 
20172127, 144, 2 
20172127, 161, 2 
20172127, 162, 2 
20172127, 172, 2 
20172127, 175, 2 
20172127, 178, 2 
20172127, 179, 2 
20172127, 182, 2 
20172127, 183, 2 
20172127, 187, 2 
20172127, 190, 2 
20172127, 192, 2 
20172127, 193, 2 
20172127, 194, 2 
20172127, 195, 2 
20172127, 198, 2 
20172127, 202, 2 
20172127, 205, 2 
20172127, 206, 2 
20172127, 209, 2 
20172127, 211, 2 
20172127, 225, 2 
20172127, 227, 2 
20172127, 229, 1 
20172127, 232, 1 
20172127, 233, 2 
20172127, 236, 2 
20172127, 237, 2 
20172127, 241, 1 
20172127, 243, 2 
20172127, 244, 1 
20172127, 247, 2 
20172127, 250, 2 
20172127, 251, 2 
20172127, 252, 1 
20172127, 254, 2 
20172127, 257, 2 
20172127, 270, 2 
20172127, 271, 2 
20172127, 275, 2 
20172127, 276, 2 
20172127, 280, 2 
20172127, 281, 1 
20172127, 282, 2 
20172127, 283, 2 
20172127, 284, 2 
20172127, 285, 2 
20172127, 288, 2 
20172127, 292, 2 
20172127, 293, 2 
20172127, 297, 2 
20172127, 298, 2 
20172127, 299, 2 
20172127, 301, 2 
20172127, 303, 1 
20172127, 304, 1 
20172127, 311, 2 
20172127, 319, 2 
20172127, 327, 2 
20172127, 352, 2 
20172127, 353, 2 
20172127, 370, 2 
20172127, 402, 2 
20172127, 404, 2 
20172127, 412, 2 
20172127, 417, 2 
20172127, 426, 2 
20172127, 430, 2 
20172127, 436, 2 
20172127, 439, 2 
20172127, 441, 2 
20172127, 442, 1 
20172127, 443, 2 
20172127, 447, 2 
20172127, 454, 2 
20172127, 455, 2 
20172127, 457, 2 
20172127, 465, 2 
20172127, 466, 2 
20172127, 470, 2 
20172127, 472, 2 
20172127, 474, 2 
20172127, 475, 2 
20172127, 480, 2 
