Doulist, Page, NO., ID, Score, Rating, Votes, Title 
485463, 4, 87, 1003000, 64.3, 8.4, 53900, 悟空传 
485463, 4, 88, 2981573, 49.2, 8.8, 2456, 悟空传 
485463, 4, 89, 1485224, 54.5, 8.6, 7615, 悟空传 
485463, 4, 90, 1975809, 46.5, 7.8, 6447, 海上牧云记 
485463, 4, 91, 1029475, 46.7, 8.1, 4208, 若星汉天空 
485463, 4, 92, 1321018, 52.4, 8.2, 9778, 九州·羽传说 
485463, 4, 93, 1321017, 61.9, 8.8, 18621, 九州·缥缈录 
485463, 4, 94, 1431779, 59.5, 8.9, 10837, 九州·缥缈录Ⅱ·苍云古齿 
485463, 4, 95, 2253753, 56.6, 8.8, 8023, 九州·缥缈录Ⅲ·天下名将 
485463, 4, 96, 2286313, 55.4, 8.7, 7588, 九州·缥缈录Ⅳ·辰月之征 
485463, 4, 97, 3851790, 56.3, 8.9, 6650, 九州·缥缈录V·一生之盟 
485463, 4, 98, 3854066, 53.1, 8.6, 6054, 九州·缥缈录VI·豹魂 
485463, 4, 99, 2265750, 45.9, 8.3, 2737, 九州志 
485463, 4, 100, 1020459, 61.6, 8.4, 34332, 此间的少年 
41855072, 3, 51, 4863620, 29.1, 9.5, 64, 长程心理动力学心理治疗 
41855072, 3, 52, 3227098, 50.0, 9.2, 1734, 编程珠玑 
41855072, 3, 53, 26657452, 15.8, 7.6, 22, 眼神不败术 
41855072, 3, 54, 1462854, 28.3, 8.9, 83, 理想的冲突 
41855072, 3, 55, 1663652, 23.7, 8.8, 43, 日常生活中的自我表演 
41855072, 3, 56, 1879344, 34.6, 8.8, 242, 精神分析与宗教 
41855072, 3, 57, 2201297, 26.8, 9.1, 58, 神经症 
41855072, 3, 58, 2382103, 31.0, 8.6, 162, 生与死的冥想 
41855072, 3, 59, 1331963, 35.4, 8.9, 252, 生命之書:365日的靜心冥想 
41855072, 3, 60, 25774384, 26.4, 8.5, 82, 冥想 
41855072, 3, 61, 2111837, 25.2, 8.9, 51, 瑜伽气功与冥想 
41855072, 3, 62, 5033881, -4.5, 0.0, 6, 弗洛姆自律道德研究 
41855072, 3, 63, 1556409, 32.1, 8.4, 231, 信任论 
41855072, 3, 64, 19952400, 41.1, 9.4, 387, 算法（第4版） 
41855072, 3, 65, 1132623, 32.8, 8.4, 261, 成为技术领导者 
41855072, 3, 66, 2340632, 22.1, 8.3, 45, 领导者性格 
41855072, 3, 67, 20429358, 24.6, 9.8, 29, 做好领导的九大赢招 
41855072, 3, 68, 6536593, 36.0, 8.4, 450, 领导梯队 
41855072, 3, 69, 4187478, 31.2, 8.4, 198, 技术领导之路（中英文对照） 
41855072, 3, 70, 26651382, 21.5, 6.5, 214, 微信力量 
41855072, 3, 71, 25727435, 20.0, 7.1, 78, 微信控 控微信（第2版） 
41855072, 3, 72, 25922105, 12.5, 6.9, 17, 微信电商,产品这么卖才赚钱 
41855072, 3, 73, 3100430, 23.3, 8.3, 56, 乡村社会权力和文化结构的变迁 
41855072, 3, 74, 6749582, 33.9, 8.4, 313, 论科学与艺术的复兴是否有助于使风俗日趋纯朴 
41855072, 3, 75, 4856533, 23.2, 8.7, 42, 风俗通义校注（上下） 
41855072, 5, 101, 26256813, -1.7, 0.0, 2, 一微万利 
41855072, 5, 102, 26677547, 19.0, 8.4, 25, 微信公众营销 
41855072, 5, 103, 5394483, 28.0, 8.5, 107, 货币生产的伦理 
41855072, 5, 104, 1315190, 48.4, 8.8, 2164, 想象的共同体 
41855072, 5, 105, 3194593, 23.5, 8.8, 42, 想象与真实 
41855072, 5, 106, 26673148, 26.8, 8.8, 70, 爱因斯坦：想象颠覆世界 
41855072, 5, 107, 1838882, 24.7, 9.1, 42, 距离与想象 
41855072, 5, 108, 3036132, 22.7, 8.3, 50, 图解市场调查指南 
41855072, 5, 109, 26410894, 28.6, 7.6, 271, 众创时代 
41855072, 5, 110, 2184750, 31.2, 8.8, 142, 哈佛家训 
41855072, 5, 111, 1144530, 30.1, 8.5, 151, 哈佛商学院启示录 
41855072, 5, 112, 1029370, 45.9, 9.1, 1051, 记忆与印象 
41855072, 5, 113, 1619280, 23.9, 8.3, 62, 当代西方经济学主要流派 
41855072, 5, 114, 4862752, 21.0, 8.8, 28, 现代经济学主要流派 
41855072, 5, 115, 3776705, 30.7, 9.0, 113, 金融时间序列分析 
41855072, 5, 116, 1032870, 24.3, 8.4, 61, 集中精力做重要的事 
41855072, 5, 117, 1281860, 26.4, 8.7, 71, 认知心理学 
41855072, 5, 118, 26396020, 21.5, 8.3, 41, 从零开始学炒股：股票入门与实战 
41855072, 5, 119, 11500071, 28.1, 9.2, 66, 股票作手回忆录 
41855072, 5, 120, 3272812, 24.5, 9.2, 39, 智慧型股票投资人 
41855072, 5, 121, 1315192, 20.9, 8.7, 29, 知识资产：在信息经济中赢得竞争优势 
41855072, 5, 122, 1361766, 20.1, 9.0, 22, 增加19倍銷售的廣告創意法 
41855072, 5, 123, 26637013, -4.0, 0.0, 5, 中国P2P借贷服务行业白皮书（2015） 
